login start!,,0.000,,,,,,
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.326,R,uuid,,,,
Info,,0.326,,,,,,
accounts,FetchUsernameFromUUID,0.326,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.327,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.328,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.329,R,slot,,,,
sessions,FetchUUIDFromToken,9.672,R,uuid,,,,
activeClientSessions,IsActiveSession,9.673,R,id,,,,
activeClientSessions,UpdateActiveSession,9.675,W,uuid,clientSessionId,,,
update system,,9.675,,,,,,
accountStats,RetrievePlaytime,10.065,R,playtime,,,,
accountStats,UpdateAccountStats,10.069,W,stats,,,,
systemSaveData,StoreSystemSaveData,10.079,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,76.732,R,uuid,,,,
activeClientSessions,UpdateActiveSession,76.733,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,76.733,R,uuid,,,,
sessions,FetchUUIDFromToken,76.734,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,76.735,R,data,,,,
activeClientSessions,UpdateActiveSession,76.735,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,76.736,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,76.736,R,data,,,,
sessions,FetchUUIDFromToken,76.736,R,uuid,,,,
activeClientSessions,UpdateActiveSession,76.737,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,76.737,R,data,,,,
sessions,FetchUUIDFromToken,76.737,R,uuid,,,,
activeClientSessions,UpdateActiveSession,76.738,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,76.738,R,data,,,,
sessionSaveData,ReadSessionSaveData,76.738,R,data,,,,
sessions,FetchUUIDFromToken,80.268,R,uuid,,,,
updateAll,,80.268,,,,,,
activeClientSessions,IsActiveSession,81.020,R,id,,,,
accounts,FetchTrainerIds,81.020,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,81.022,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,81.023,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,81.023,R,data,,,,
accounts,UpdateAccountLastActivity,81.025,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,81.032,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,81.033,W,lastActivity,,,,
accountStats,UpdateAccountStats,81.035,W,stats,,,,
systemSaveData,StoreSystemSaveData,81.057,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,190.535,R,uuid,,,,
activeClientSessions,IsActiveSession,190.536,R,id,,,,
verify system,,190.536,,,,,,
sessions,FetchUUIDFromToken,213.344,R,uuid,,,,
Info,,213.344,,,,,,
accounts,FetchUsernameFromUUID,213.344,R,userName,,,,
accounts,FetchDiscordIdByUsername,213.345,R,discordId,,,,
accounts,FetchGoogleIdByUsername,213.346,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,213.347,R,slot,,,,
sessions,FetchUUIDFromToken,213.542,R,uuid,,,,
activeClientSessions,IsActiveSession,213.543,R,id,,,,
get system,,213.543,,,,,,
activeClientSessions,UpdateActiveSession,213.545,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,213.546,R,data,,,,
sessions,FetchUUIDFromToken,484.049,R,uuid,,,,
activeClientSessions,IsActiveSession,484.051,R,id,,,,
verify system,,484.051,,,,,,
sessions,FetchUUIDFromToken,552.611,R,uuid,,,,
activeClientSessions,IsActiveSession,552.612,R,id,,,,
verify system,,552.612,,,,,,
sessions,FetchUUIDFromToken,613.734,R,uuid,,,,
activeClientSessions,IsActiveSession,613.735,R,id,,,,
verify system,,613.735,,,,,,
sessions,FetchUUIDFromToken,663.407,R,uuid,,,,
updateAll,,663.407,,,,,,
activeClientSessions,IsActiveSession,664.162,R,id,,,,
accounts,FetchTrainerIds,664.163,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,664.164,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,664.165,R,data,,,,
accounts,UpdateAccountLastActivity,664.171,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,664.190,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,664.192,W,lastActivity,,,,
accountStats,UpdateAccountStats,664.197,W,stats,,,,
systemSaveData,StoreSystemSaveData,664.227,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,703.137,R,uuid,,,,
activeClientSessions,IsActiveSession,703.138,R,id,,,,
verify system,,703.138,,,,,,
sessions,FetchUUIDFromToken,872.240,R,uuid,,,,
activeClientSessions,IsActiveSession,872.240,R,id,,,,
verify system,,872.241,,,,,,
sessions,FetchUUIDFromToken,936.971,R,uuid,,,,
activeClientSessions,IsActiveSession,936.972,R,id,,,,
verify system,,936.972,,,,,,
sessions,FetchUUIDFromToken,980.844,R,uuid,,,,
activeClientSessions,IsActiveSession,980.845,R,id,,,,
verify system,,980.845,,,,,,
sessions,FetchUUIDFromToken,1012.855,R,uuid,,,,
updateAll,,1012.856,,,,,,
activeClientSessions,IsActiveSession,1013.432,R,id,,,,
accounts,FetchTrainerIds,1013.434,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1013.434,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1013.435,R,data,,,,
accounts,UpdateAccountLastActivity,1013.441,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1013.461,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1013.464,W,lastActivity,,,,
accountStats,UpdateAccountStats,1013.467,W,stats,,,,
systemSaveData,StoreSystemSaveData,1013.490,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1041.283,R,uuid,,,,
activeClientSessions,IsActiveSession,1041.284,R,id,,,,
verify system,,1041.285,,,,,,
sessions,FetchUUIDFromToken,1122.703,R,uuid,,,,
activeClientSessions,IsActiveSession,1122.704,R,id,,,,
verify system,,1122.704,,,,,,
sessions,FetchUUIDFromToken,1212.106,R,uuid,,,,
activeClientSessions,IsActiveSession,1212.107,R,id,,,,
verify system,,1212.107,,,,,,
sessions,FetchUUIDFromToken,1260.586,R,uuid,,,,
activeClientSessions,IsActiveSession,1260.588,R,id,,,,
verify system,,1260.588,,,,,,
sessions,FetchUUIDFromToken,1385.037,R,uuid,,,,
updateAll,,1385.038,,,,,,
activeClientSessions,IsActiveSession,1385.790,R,id,,,,
accounts,FetchTrainerIds,1385.791,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1385.793,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1385.794,R,data,,,,
accounts,UpdateAccountLastActivity,1385.800,W,lastActivity,,,,
